i,j,t,c,l,p,o
0,0,0,0.08012955135224024,-0.6729369536185781,1.0657033268830942,0.05377273116829193
0,1,0,0.5755930520964302,-0.6729369536185781,-0.8386741294602829,0.10848570307805791
0,2,0,2.22344919453549,-0.6729369536185781,0.4333400066226386,0.02101313247398829
0,3,0,1.4829608903102813,-0.6729369536185781,0.6106608492791377,0.032098090509421376
0,4,0,-0.17426992599398364,-0.6729369536185781,-0.441413979478196,-0.18157004538239285
0,5,0,-0.931128361764669,-0.6729369536185781,1.4835522399803909,0.077803890789177
0,6,0,-0.4083711262276341,-0.6729369536185781,-1.8222131236124166,-0.09623161552280957
0,7,0,3.8698012113757922,-0.6729369536185781,0.19228928496296896,0.009392990993612215
0,8,0,0.020112835353469846,-0.6729369536185781,1.0935973120807596,0.05580664992087452
0,9,0,0.5592844676052621,-0.6729369536185781,0.8996272027042339,0.0456968051023132
0,10,0,0.5838122143404508,-0.6729369536185781,0.8789357773762888,0.04831454140553053
0,11,0,-3.218077589789514,-0.6729369536185781,-0.7072400937798062,-0.035756627269298034
0,12,0,0.050867468858452586,-0.6729369536185781,-0.5682640333811808,0.12621282534933798
0,13,0,1.099857908517724,-0.6729369536185781,0.723277181775401,0.037672467129573305
0,14,0,-3.411720549593907,-0.6729369536185781,-0.655040541013453,-0.03733363508175375
0,15,0,-0.3878882867747629,-0.6729369536185781,-0.3355020792563793,-0.17382651780521072
0,16,0,-0.4034564612169136,-0.6729369536185781,1.2625619933336256,0.06486083403025869
0,17,0,0.15888897510051936,-0.6729369536185781,1.0370376376344501,0.05572520001648117
0,18,0,0.8193348579167091,-0.6729369536185781,0.8068375535116151,0.044038632730597264
0,19,0,0.614651901937051,-0.6729369536185781,0.8844352442184603,0.05034506723062679
0,20,0,1.563222404673955,-0.6729369536185781,-1.3261326141147909,-0.2278455303876597
0,21,0,-0.7243833892713047,-0.6729369536185781,-0.1708554804822601,0.14976703991312326
0,22,0,-2.9625859568308104,-0.6729369536185781,-0.7916837847257269,-0.03935394400978386
0,23,0,-0.7209989348213648,-0.6729369536185781,-1.6692613775798344,-0.0888860623673694
0,24,0,-1.1465464376903967,-0.6729369536185781,-1.4700820489423012,-0.0790802783623988
0,25,0,1.6028992115419334,-0.6729369536185781,-2.819446369104336,-0.14742693303306015
0,26,0,-1.0923672359282788,-0.6729369536185781,-1.5079319634539101,-0.07338027136470986
0,27,0,1.556035763351187,-0.6729369536185781,0.5890083083181975,0.02850201354958608
0,28,0,3.869265894234787,-0.6729369536185781,0.19081765873806347,0.005616336185357606
0,29,0,-2.3397649640371245,-0.6729369536185781,0.6720900286964675,0.1921610109106816
0,30,0,-0.9068850779451048,-0.6729369536185781,-1.5844010756153675,-0.0819252494971583
0,31,0,-3.6542396711678524,-0.6729369536185781,-0.5893016611462434,-0.030833547897055467
0,32,0,3.866730076437132,-0.6729369536185781,0.19019703111148883,0.004351592431486405
0,33,0,2.6342807462539763,-0.6729369536185781,0.35024127423195706,0.019141573616062838
0,34,0,2.322259236354716,-0.6729369536185781,0.4121295903513606,0.022395998954933875
0,35,0,1.686376522759176,-0.6729369536185781,0.5601263102675917,0.027001886467798972
0,36,0,-0.5360444160960367,-0.6729369536185781,1.3074770566712204,0.0708214691336121
0,37,0,1.6849065546165285,-0.6729369536185781,0.5574112337788517,0.03124219422724733
0,38,0,-0.22098895769885984,-0.6729369536185781,1.1883456549441875,0.06609780411028435
0,39,0,-0.4425646315503554,-0.6729369536185781,1.2718769509370353,0.06872553914690639
0,40,0,-1.364928345145612,-0.6729369536185781,1.676597965989586,0.0913309223763303
0,41,0,-1.872314765081575,-0.6729369536185781,1.907040060032268,0.09639217664417304
0,42,0,-1.7032022786702465,-0.6729369536185781,-1.235529498912043,-0.06748347898524294
0,43,0,0.9406599841965751,-0.6729369536185781,0.7680523715006572,0.03860063677290885
0,44,0,1.576294281655789,-0.6729369536185781,-1.3254979458651523,-0.22641432950443877
