i,j,t,question,c,c2,l,p,o
0,0,0,3,1.1043089777694182,2.411511715374771,3.6187000921801706,2.358823575113744,0.0024287585641577106
0,1,0,3,-0.04201933926103411,5.074491232919017,3.6187000921801706,-0.9705339022464408,0.02729156168153046
0,2,0,3,-0.20581469258726218,4.678708051436951,3.6187000921801706,3.076410952813509,0.005899339079039226
0,3,0,3,0.5390378414111195,2.2499958463348233,3.6187000921801706,2.63496451127447,0.006216430240500115
0,4,0,3,1.5244571739179353,7.692045238188619,3.6187000921801706,-2.277820570295072,-0.031998431179998614
0,5,0,3,1.8086575640573699,1.953906136023999,3.6187000921801706,2.0259631950369807,0.00424191433332049
0,6,0,3,1.6032489972810906,6.369436010617322,3.6187000921801706,-5.4521849282942005,-0.009236945962973007
0,7,0,3,0.08016421830796149,8.847918636832892,3.6187000921801706,2.883642049132953,0.0043462698758717075
0,8,0,3,-0.5361598610910826,4.437912996295978,3.6187000921801706,3.2454787979841146,0.006731357778488089
0,9,0,3,0.8486590082700032,-0.4343260014160726,3.6187000921801706,2.4945811913010276,0.004312822407073182
0,10,0,3,-0.7507827696428172,1.3314911616152971,3.6187000921801706,3.3653633684698745,0.0067177310493474795
0,11,0,3,-3.401737629219567,2.249654226401461,3.6187000921801706,-2.400531932805816,-0.004966641843201926
0,12,0,3,-1.0881585404235006,-2.1884379301711254,3.6187000921801706,-0.0892538548395404,0.028738821435323806
0,13,0,3,0.4650662571652254,2.5054988360456267,3.6187000921801706,2.669323758355612,0.003377939045872037
0,14,0,3,3.0076553623263624,5.192394289068809,3.6187000921801706,-6.459401080207627,-0.01370958630348107
0,15,0,3,1.7177093380262292,5.533327622952959,3.6187000921801706,-2.4534639702075607,-0.03314186352138152
0,16,0,3,-1.2150435473201597,1.5349405740887105,3.6187000921801706,3.643526609362977,0.004873843192416428
0,17,0,3,-1.1170719574405372,-4.116721289200992,3.6187000921801706,3.595147147015999,0.005977075396443509
0,18,0,3,0.3790068415640633,0.8601709821490733,3.6187000921801706,2.7203061018523846,0.004945579833563582
0,19,0,3,0.9490368779305132,5.161513460795592,3.6187000921801706,2.436510332078751,0.003949914543732101
