i,j,t,c,l,p,o
0,0,0,1.0097210346057783,-0.012091881988803113,-0.48323939231496676,0.08258496343129389
0,1,0,2.428612661003867,-0.012091881988803113,-1.277758309528808,0.0624004449280125
0,2,0,1.988809773167714,-0.012091881988803113,-1.0244710511901232,-0.12137647336938516
0,3,0,0.3164117002280589,-0.012091881988803113,-1.744915369747322,-0.049682524398866855
0,4,0,6.562825273071427,-0.012091881988803113,0.10381036592654,0.004155139629862377
0,5,0,1.1922586642133532,-0.012091881988803113,-2.1813213356326107,-0.05976367113307988
0,6,0,5.273006676641989,-0.012091881988803113,0.19812320149506174,0.006052394482711135
0,7,0,6.559108926232349,-0.012091881988803113,0.11549180910946927,0.005356783650099895
0,8,0,1.3914003250174505,-0.012091881988803113,1.1511437558669193,0.030565277155814436
0,9,0,-1.8523861616505488,-0.012091881988803113,-0.8605025467617425,-0.02298373035223717
0,10,0,-1.672071704867533,-0.012091881988803113,-0.9247596164683257,-0.02416937362259545
0,11,0,-3.0175302373249915,-0.012091881988803113,-0.5241269985792566,-0.015282865187806813
0,12,0,-4.99301429891595,-0.012091881988803113,-0.18878542929879474,-0.0053751475364553145
0,13,0,0.4806291256012996,-0.012091881988803113,-1.8245027947341095,-0.05285217245450175
0,14,0,5.256445402997134,-0.012091881988803113,0.1981953599425932,0.0016508568117578216
0,15,0,4.509425117394877,-0.012091881988803113,0.30434574174283235,0.007494254967981783
0,16,0,-1.914572702821872,-0.012091881988803113,1.16301387582966,0.1283373557479311
0,17,0,-6.325781955156492,-0.012091881988803113,-0.08863178116326582,-0.0048593576465142995
0,18,0,-1.1123351043220766,-0.012091881988803113,-1.1365027741613167,-0.032020500670641903
0,19,0,3.518010973616553,-0.012091881988803113,0.4894073806327693,0.01365441450356617
0,20,0,5.255556082670699,-0.012091881988803113,0.2095485794956892,0.00574553493184114
0,21,0,3.609468812676534,-0.012091881988803113,0.4683950337127557,0.013763613721892748
0,22,0,4.386725785175649,-0.012091881988803113,0.31937975066867746,0.006994844970811772
0,23,0,2.6566010665982294,-0.012091881988803113,0.7075989999071104,0.0158388590146793
0,24,0,5.260606582670777,-0.012091881988803113,0.20290325945362064,0.004098052977636629
0,25,0,1.1602765733473788,-0.012091881988803113,1.233436354969395,0.03614665006071041
0,26,0,4.176576053323694,-0.012091881988803113,0.34577606571744124,0.01169933595794125
0,27,0,-2.5794853017069395,-0.012091881988803113,-0.6343885134459869,-0.016975120298779876
0,28,0,0.4964721293040789,-0.012091881988803113,1.5252861961385191,0.03709858078292744
0,29,0,-3.137695516665751,-0.012091881988803113,1.7808508703017671,0.14452388824086848
0,30,0,1.5217754002572428,-0.012091881988803113,1.0926745227565717,0.03148126324108835
0,31,0,4.4368380426089615,-0.012091881988803113,0.30089511397094637,0.006553852782694882
0,32,0,-0.5267817641466057,-0.012091881988803113,2.0132950528092874,0.05118364948320492
0,33,0,-3.2113169721480332,-0.012091881988803113,-0.49337530762525805,-0.015488209831195775
0,34,0,-2.6238589710482128,-0.012091881988803113,-0.6362402204618149,-0.0205277411290318
0,35,0,-2.8293756169998976,-0.012091881988803113,-0.570657975090236,-0.01760227078586882
0,36,0,-1.627683920915352,-0.012091881988803113,2.58396011280187,0.06950150334554166
0,37,0,-2.6378821416111187,-0.012091881988803113,-0.6123006329245667,-0.01606588445484078
0,38,0,-2.6767471833842884,-0.012091881988803113,-0.622862136660349,-0.014729210673213707
