i,j,t,question,c,c2,l,p,o
0,0,0,1,2.213075438155638,2.763963335021538,0.5539684846902201,-1.0907307744257984,-0.010855933818161786
0,1,0,1,-0.09718260659944883,6.630950555512478,0.5539684846902201,-1.6489663450792929,-0.0026994182928940496
0,2,0,1,-1.8306918884845693,7.883664728305315,0.5539684846902201,-1.3470386635674787,-0.00098893414882062
0,3,0,1,0.5243030440079005,3.894464896136036,0.5539684846902201,-2.1059529651890423,-0.0024593751932905084
0,4,0,1,2.8568593687334856,8.340265024265385,0.5539684846902201,0.5166468497924853,0.061455519220037606
0,5,0,1,3.4673631759737638,1.721251237802153,0.5539684846902201,-2.7474684003716474,-0.0104272000940992
0,6,0,1,2.9789288243824905,6.416444766469884,0.5539684846902201,2.093830878380815,0.030628840680391598
0,7,0,1,-1.4056998299049588,12.043632691465584,0.5539684846902201,-0.1390326165250816,-0.0019090867686188068
0,8,0,1,-0.9347717123431676,6.449733303163175,0.5539684846902201,0.6760131293140716,-0.005806063983618164
0,9,0,1,1.4620209015130725,0.5623018735511861,0.5539684846902201,-1.273162712746649,-0.006695953708386576
0,10,0,1,-2.1746130507403434,4.608293915732841,0.5539684846902201,-1.1676278231604993,-0.001211561095843785
0,11,0,1,-2.5051376889002004,3.490700611428077,0.5539684846902201,-0.6843145383014865,-0.0004471936542118404
0,12,0,1,-2.728928486019105,1.0925854913404163,0.5539684846902201,-0.2589131918810321,-0.0019368167262054988
0,13,0,1,0.4860839975703593,4.161618657430805,0.5539684846902201,-2.2237347322257834,-0.0017690432689883317
0,14,0,1,5.941288035205321,4.145295286965108,0.5539684846902201,0.8276145800745736,0.010968935326267526
0,15,0,1,3.0373751659157198,5.900889837513216,0.5539684846902201,0.446261342958903,0.05768521993022785
0,16,0,1,-2.17237952521857,4.358299167144736,0.5539684846902201,0.8139952092815019,-0.00404605111893451
0,17,0,1,-3.2461209591928335,-2.430085105821158,0.5539684846902201,-0.1049076256894258,2.334383582216519e-05
0,18,0,1,0.3444499335202288,2.639491754244618,0.5539684846902201,-1.4569640969148494,-0.0027213389917404482
0,19,0,1,1.6110763213022956,6.088942936449457,0.5539684846902201,-0.4638294140850757,-0.015571419339079063
